country,risk_score_2030,risk_tier,region,income_group,top_interventions
"Korea, South",23.617092783505154,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Italy,23.506753246753245,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
China,23.489438848920862,Low,East Asia,UMI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Oman,23.36305882352941,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Slovenia,23.216213235294116,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Malaysia,22.91714285714286,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Canada,22.6597461928934,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Russia,22.62638202247191,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Singapore,22.53472103004292,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Portugal,22.51201923076923,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Lebanon,22.510499999999997,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Kuwait,22.355536585365854,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Japan,21.928582834331337,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Israel,21.247193675889328,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Hong Kong,21.047142857142855,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Costa Rica,20.80627192982456,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Spain,20.60780193236715,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Ireland,19.89341968911917,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Thailand,19.73625468164794,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United States,19.285263157894736,Low,North America,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Netherlands,18.82544,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Australia,18.59546370967742,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Denmark,18.55836144578313,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Finland,18.551628664495112,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Sweden,18.453115789473685,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Switzerland,18.078710691823897,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United Kingdom,17.65671052631579,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Czech Republic,16.37215108834827,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Austria,16.208595988538683,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
New Zealand,16.162088353413655,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Belgium,15.454937369519833,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Germany,15.197575083426027,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
France,14.928424101969872,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Hungary,13.92761235955056,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Norway,11.975569620253165,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
