country,risk_score_2030,risk_tier,region,income_group,top_interventions
Mexico,62.14833333333333,High,Latin America,UMI,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Israel,53.49333333333334,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Poland,47.77333333333333,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Chile,39.515,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Belgium,36.76166666666666,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
United States,31.22,Medium,North America,HI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
France,25.081666666666667,Medium,Western Europe,HI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Philippines,22.563333333333333,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Colombia,19.843333333333334,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United Kingdom,11.26,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Australia,10.926666666666668,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Germany,10.87,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Japan,5.156666666666667,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Taiwan,3.965,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Spain,0.61,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Portugal,0.24500000000000002,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
