country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region
India,K_pneumoniae_COL,2023,K_pneumoniae,COL,0.0,46.0,GASAR Study III (n=494)_updated.csv,19.77,0.4109,2530.12031278204,3.33944035,60.7767067943276,0.723,0.506,35.0676918424186,60.0604064994165,35.723,95.0740565981493,LMI,South/SE Asia
India,K_pneumoniae_COL,2024,K_pneumoniae,COL,,,,19.6,0.4347,2393.628,3.027,64.759,0.699,0.51,35.157,60.0604064994165,35.869,93.638,LMI,South/SE Asia
India,K_pneumoniae_COL,2025,K_pneumoniae,COL,,,,20.81,0.4321,2690.936,2.909,63.942,0.776,0.507,35.379,60.0604064994165,36.111,94.473,LMI,South/SE Asia
India,K_pneumoniae_COL,2026,K_pneumoniae,COL,,,,20.89,0.4473,2634.679,2.983,67.608,0.763,0.475,36.162,60.0604064994165,36.108,95.041,LMI,South/SE Asia
India,K_pneumoniae_COL,2027,K_pneumoniae,COL,,,,21.98,0.4388,2558.633,3.308,64.083,0.82,0.515,37.24,60.0604064994165,35.178,95.391,LMI,South/SE Asia
India,K_pneumoniae_COL,2028,K_pneumoniae,COL,,,,21.78,0.4414,3222.574,3.032,65.573,0.699,0.524,36.592,60.0604064994165,35.177,95.276,LMI,South/SE Asia
India,K_pneumoniae_COL,2029,K_pneumoniae,COL,,,,22.08,0.4503,2529.634,2.996,61.527,0.628,0.487,36.128,60.0604064994165,37.383,95.507,LMI,South/SE Asia
India,K_pneumoniae_COL,2030,K_pneumoniae,COL,,,,22.55,0.4609,2987.309,3.21,62.476,0.752,0.478,35.318,60.0604064994165,38.408,99.549,LMI,South/SE Asia
India,Klebsiella_spp_COL,2022,Klebsiella_spp,COL,10.526315789473683,19.0,GASAR Study III (n=494)_updated.csv,19.7,0.4218,2347.44829434623,3.39623499,58.579834910144,0.7,0.5,34.7555673994206,60.0555856504293,25.5,94.4191311935781,LMI,South/SE Asia
India,Klebsiella_spp_COL,2023,Klebsiella_spp,COL,8.333333333333332,24.0,GASAR Study III (n=494)_updated.csv,19.77,0.4109,2530.12031278204,3.33944035,60.7767067943276,0.723,0.506,35.0676918424186,60.0604064994165,35.723,95.0740565981493,LMI,South/SE Asia
India,Klebsiella_spp_COL,2024,Klebsiella_spp,COL,,,,19.6,0.4347,2393.628,3.027,64.759,0.699,0.51,35.157,60.0604064994165,35.869,93.638,LMI,South/SE Asia
India,Klebsiella_spp_COL,2025,Klebsiella_spp,COL,,,,20.81,0.4321,2690.936,2.909,63.942,0.776,0.507,35.379,60.0604064994165,36.111,94.473,LMI,South/SE Asia
India,Klebsiella_spp_COL,2026,Klebsiella_spp,COL,,,,20.89,0.4473,2634.679,2.983,67.608,0.763,0.475,36.162,60.0604064994165,36.108,95.041,LMI,South/SE Asia
India,Klebsiella_spp_COL,2027,Klebsiella_spp,COL,,,,21.98,0.4388,2558.633,3.308,64.083,0.82,0.515,37.24,60.0604064994165,35.178,95.391,LMI,South/SE Asia
India,Klebsiella_spp_COL,2028,Klebsiella_spp,COL,,,,21.78,0.4414,3222.574,3.032,65.573,0.699,0.524,36.592,60.0604064994165,35.177,95.276,LMI,South/SE Asia
India,Klebsiella_spp_COL,2029,Klebsiella_spp,COL,,,,22.08,0.4503,2529.634,2.996,61.527,0.628,0.487,36.128,60.0604064994165,37.383,95.507,LMI,South/SE Asia
India,Klebsiella_spp_COL,2030,Klebsiella_spp,COL,,,,22.55,0.4609,2987.309,3.21,62.476,0.752,0.478,35.318,60.0604064994165,38.408,99.549,LMI,South/SE Asia
India,P_aeruginosa_COL,2022,P_aeruginosa,COL,9.523809523809524,21.0,GASAR Study III (n=494)_updated.csv,19.7,0.4218,2347.44829434623,3.39623499,58.579834910144,0.7,0.5,34.7555673994206,60.0555856504293,25.5,94.4191311935781,LMI,South/SE Asia
India,P_aeruginosa_COL,2023,P_aeruginosa,COL,0.0,17.0,GASAR Study III (n=494)_updated.csv,19.77,0.4109,2530.12031278204,3.33944035,60.7767067943276,0.723,0.506,35.0676918424186,60.0604064994165,35.723,95.0740565981493,LMI,South/SE Asia
India,P_aeruginosa_COL,2024,P_aeruginosa,COL,,,,19.6,0.4347,2393.628,3.027,64.759,0.699,0.51,35.157,60.0604064994165,35.869,93.638,LMI,South/SE Asia
India,P_aeruginosa_COL,2025,P_aeruginosa,COL,,,,20.81,0.4321,2690.936,2.909,63.942,0.776,0.507,35.379,60.0604064994165,36.111,94.473,LMI,South/SE Asia
India,P_aeruginosa_COL,2026,P_aeruginosa,COL,,,,20.89,0.4473,2634.679,2.983,67.608,0.763,0.475,36.162,60.0604064994165,36.108,95.041,LMI,South/SE Asia
India,P_aeruginosa_COL,2027,P_aeruginosa,COL,,,,21.98,0.4388,2558.633,3.308,64.083,0.82,0.515,37.24,60.0604064994165,35.178,95.391,LMI,South/SE Asia
India,P_aeruginosa_COL,2028,P_aeruginosa,COL,,,,21.78,0.4414,3222.574,3.032,65.573,0.699,0.524,36.592,60.0604064994165,35.177,95.276,LMI,South/SE Asia
India,P_aeruginosa_COL,2029,P_aeruginosa,COL,,,,22.08,0.4503,2529.634,2.996,61.527,0.628,0.487,36.128,60.0604064994165,37.383,95.507,LMI,South/SE Asia
India,P_aeruginosa_COL,2030,P_aeruginosa,COL,,,,22.55,0.4609,2987.309,3.21,62.476,0.752,0.478,35.318,60.0604064994165,38.408,99.549,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2022,Pseudomonas_spp,COL,,,,19.7,0.4218,2347.44829434623,3.39623499,58.579834910144,0.7,0.5,34.7555673994206,60.0555856504293,25.5,94.4191311935781,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2023,Pseudomonas_spp,COL,0.0,1.0,GASAR Study III (n=494)_updated.csv,19.77,0.4109,2530.12031278204,3.33944035,60.7767067943276,0.723,0.506,35.0676918424186,60.0604064994165,35.723,95.0740565981493,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2024,Pseudomonas_spp,COL,,,,19.6,0.4347,2393.628,3.027,64.759,0.699,0.51,35.157,60.0604064994165,35.869,93.638,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2025,Pseudomonas_spp,COL,,,,20.81,0.4321,2690.936,2.909,63.942,0.776,0.507,35.379,60.0604064994165,36.111,94.473,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2026,Pseudomonas_spp,COL,,,,20.89,0.4473,2634.679,2.983,67.608,0.763,0.475,36.162,60.0604064994165,36.108,95.041,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2027,Pseudomonas_spp,COL,,,,21.98,0.4388,2558.633,3.308,64.083,0.82,0.515,37.24,60.0604064994165,35.178,95.391,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2028,Pseudomonas_spp,COL,,,,21.78,0.4414,3222.574,3.032,65.573,0.699,0.524,36.592,60.0604064994165,35.177,95.276,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2029,Pseudomonas_spp,COL,,,,22.08,0.4503,2529.634,2.996,61.527,0.628,0.487,36.128,60.0604064994165,37.383,95.507,LMI,South/SE Asia
India,Pseudomonas_spp_COL,2030,Pseudomonas_spp,COL,,,,22.55,0.4609,2987.309,3.21,62.476,0.752,0.478,35.318,60.0604064994165,38.408,99.549,LMI,South/SE Asia
