Country,Organism,Antibiotic,SurveyYear,Interpretation
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,I
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2017,R
South Africa,Staphylococcus aureus,Methicillin,2017,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,I
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,S
South Africa,Staphylococcus aureus,Methicillin,2018,R
South Africa,Staphylococcus aureus,Methicillin,2018,S
